txn_id,account_id,txn_date,amount,channel,txn_type,risk_flag
TXN000045,ACC00161,2025-04-18,4487.94,POS,Withdrawal,1
TXN000046,ACC00007,2024-07-01,2908.39,Online,Transfer,0
TXN000047,ACC00015,2025-05-07,4148.38,POS,Payment,1
TXN000048,ACC00178,2025-09-21,2556.36,Online,Withdrawal,0
TXN000049,ACC00078,2025-02-04,2772.85,ATM,Payment,0
TXN000050,ACC00010,2025-01-22,969.4,Online,Withdrawal,1
TXN000051,ACC00056,2024-06-06,297.69,ATM,Transfer,0
TXN000052,ACC00195,2024-03-12,1356.95,POS,Payment,1
TXN000053,ACC00046,2024-01-02,2232.46,ATM,Payment,0
TXN000054,ACC00225,2024-06-30,4632.2,Online,Withdrawal,1
TXN000055,ACC00123,2025-05-08,4101.66,POS,Withdrawal,1
TXN000056,ACC00274,2025-08-16,3950.0,ATM,Payment,1
TXN000057,ACC00096,2025-12-25,3054.3,ATM,Payment,1
TXN000058,ACC00102,2025-10-09,3105.61,Online,Payment,1
TXN000059,ACC00049,2025-12-29,1188.34,POS,Withdrawal,0
TXN000060,ACC00165,2024-08-11,4514.08,Online,Payment,1
TXN000061,ACC00246,2024-03-22,710.2,Online,Withdrawal,0
TXN000062,ACC00292,2024-01-24,2636.38,Online,Payment,0
TXN000063,ACC00073,2025-03-28,3214.45,Online,Transfer,1
TXN000064,ACC00100,2025-10-01,2837.43,POS,Payment,0
TXN000065,ACC00208,2024-10-10,3463.02,POS,Withdrawal,1
TXN000066,ACC00284,2025-02-02,881.16,ATM,Payment,0
TXN000067,ACC00106,2025-05-22,443.73,POS,Transfer,0
TXN000068,ACC00274,2025-05-14,2884.65,POS,Transfer,0
TXN000069,ACC00044,2025-01-05,4836.41,POS,Withdrawal,1
TXN000070,ACC00216,2024-06-11,4222.8,POS,Payment,1
TXN000071,ACC00203,2024-07-26,586.99,ATM,Transfer,0
TXN000072,ACC00018,2025-01-03,4687.1,POS,Transfer,1
TXN000073,ACC00022,2025-07-11,50.17,ATM,Payment,0
TXN000074,ACC00054,2024-01-23,4437.56,Online,Transfer,1
TXN000075,ACC00276,2025-02-02,3240.52,Online,Transfer,1
TXN000076,ACC00065,2025-04-30,2343.59,Online,Transfer,0
TXN000077,ACC00094,2025-12-22,411.5,ATM,Transfer,1
TXN000078,ACC00218,2024-02-29,4750.08,ATM,Payment,1
TXN000079,ACC00122,2024-04-15,4891.82,Online,Payment,1
TXN000080,ACC00065,2025-03-01,191.23,Online,Withdrawal,0
TXN000081,ACC00136,2024-10-23,2995.49,ATM,Payment,0
TXN000082,ACC00129,2025-01-15,1141.4,ATM,Transfer,0
TXN000083,ACC00236,2025-04-26,1252.0,Online,Withdrawal,0
TXN000084,ACC00161,2024-12-15,1720.52,ATM,Payment,0
TXN000085,ACC00203,2024-07-14,4677.24,POS,Withdrawal,1
TXN000086,ACC00218,2024-06-06,4072.17,Online,Withdrawal,1
TXN000087,ACC00072,2024-08-18,4539.89,POS,Transfer,1
TXN000088,ACC00214,2024-02-03,4045.79,ATM,Withdrawal,1
TXN000089,ACC00236,2024-11-21,3817.34,Online,Transfer,1
TXN000090,ACC00051,2024-05-06,807.79,Online,Withdrawal,0
TXN000091,ACC00123,2025-02-23,425.49,POS,Withdrawal,0
TXN000092,ACC00226,2024-04-30,4520.3,ATM,Withdrawal,1
TXN000093,ACC00271,2024-07-05,3977.07,ATM,Transfer,1
TXN000094,ACC00130,2024-10-17,2808.0,POS,Withdrawal,0
TXN000095,ACC00089,2024-09-16,2952.58,POS,Payment,0
TXN000096,ACC00121,2024-08-22,641.63,POS,Transfer,0
TXN000097,ACC00006,2024-04-19,2175.41,ATM,Transfer,0
TXN000098,ACC00216,2025-12-25,4168.75,Online,Withdrawal,1
TXN000099,ACC00083,2025-07-22,2902.94,ATM,Payment,0
TXN000100,ACC00187,2024-03-23,991.07,ATM,Transfer,0
TXN000101,ACC00165,2025-03-20,3315.93,Online,Transfer,1
TXN000102,ACC00159,2024-09-27,61.76,POS,Transfer,0
TXN000103,ACC00129,2024-08-30,2298.22,ATM,Payment,0
TXN000104,ACC00224,2025-01-24,4822.32,Online,Transfer,1
TXN000105,ACC00084,2025-01-30,3768.86,Online,Withdrawal,1
TXN000106,ACC00287,2024-05-17,4595.76,POS,Withdrawal,1
TXN000107,ACC00010,2024-09-06,3933.97,ATM,Withdrawal,1
TXN000108,ACC00293,2024-11-03,3075.95,ATM,Transfer,1
TXN000109,ACC00154,2025-10-01,3698.25,Online,Transfer,1
TXN000110,ACC00047,2025-06-30,2746.33,POS,Withdrawal,0
TXN000111,ACC00224,2025-03-10,2294.3,ATM,Withdrawal,0
TXN000112,ACC00138,2025-08-24,4754.49,Online,Transfer,1
TXN000113,ACC00292,2024-09-14,3203.78,POS,Transfer,1
TXN000114,ACC00228,2025-08-25,3569.32,POS,Withdrawal,1
TXN000115,ACC00257,2024-05-04,3180.39,POS,Transfer,1
TXN000116,ACC00086,2025-10-09,3808.78,POS,Payment,1
TXN000117,ACC00048,2025-08-27,2357.13,Online,Payment,0
TXN000118,ACC00290,2025-06-24,2530.3,POS,Withdrawal,0
TXN000119,ACC00046,2024-12-14,3507.26,POS,Payment,1
TXN000120,ACC00173,2025-10-12,2346.92,Online,Transfer,0
TXN000121,ACC00192,2024-05-08,650.19,Online,Transfer,0
TXN000122,ACC00069,2025-09-12,4367.56,ATM,Payment,1
TXN000123,ACC00093,2024-12-05,1508.09,POS,Transfer,0
TXN000124,ACC00295,2025-12-07,1264.95,POS,Transfer,0
TXN000125,ACC00006,2025-09-03,175.19,Online,Withdrawal,0
TXN000126,ACC00137,2025-09-11,2441.65,ATM,Payment,0
TXN000127,ACC00089,2025-05-14,4656.44,Online,Transfer,1
TXN000128,ACC00279,2024-11-13,4202.43,ATM,Transfer,1
TXN000129,ACC00070,2025-01-31,4925.09,POS,Withdrawal,1
TXN000130,ACC00255,2024-04-08,2988.99,Online,Withdrawal,0
TXN000131,ACC00086,2025-04-19,54.66,Online,Payment,0
TXN000132,ACC00286,2025-04-06,957.55,Online,Withdrawal,0
TXN000133,ACC00100,2025-10-29,925.93,Online,Payment,0
TXN000134,ACC00071,2025-05-15,3031.3,POS,Transfer,1
TXN000135,ACC00057,2025-12-06,1384.86,ATM,Payment,0
TXN000136,ACC00133,2025-08-06,4161.3,Online,Payment,1
TXN000137,ACC00135,2024-06-10,3205.33,POS,Withdrawal,1
TXN000138,ACC00057,2025-04-29,1093.59,POS,Payment,0
TXN000139,ACC00164,2025-02-17,2585.2,ATM,Withdrawal,0
TXN000140,ACC00220,2024-07-12,17.88,ATM,Transfer,0
TXN000141,ACC00044,2024-03-23,2182.49,ATM,Withdrawal,0
TXN000142,ACC00157,2025-06-16,1664.34,Online,Withdrawal,0
TXN000143,ACC00063,2024-04-16,2822.7,ATM,Transfer,0
TXN000144,ACC00005,2025-12-06,4438.37,POS,Transfer,1
TXN000145,ACC00020,2025-12-14,4770.85,ATM,Withdrawal,1
TXN000146,ACC00107,2025-11-02,2350.42,Online,Payment,0
TXN000147,ACC00130,2024-01-09,1719.77,Online,Payment,0
TXN000148,ACC00284,2024-01-14,2233.71,POS,Payment,0
TXN000149,ACC00278,2024-07-30,4834.94,Online,Payment,1
TXN000150,ACC00182,2025-05-15,772.79,POS,Payment,0
TXN000151,ACC00294,2024-04-22,4195.85,ATM,Payment,1
TXN000152,ACC00082,2024-09-17,3584.81,ATM,Transfer,1
TXN000153,ACC00213,2025-01-24,2960.62,POS,Transfer,0
TXN000154,ACC00187,2024-12-10,2346.86,Online,Withdrawal,0
TXN000155,ACC00162,2025-01-26,1818.24,POS,Payment,0
TXN000156,ACC00283,2025-06-05,1451.36,POS,Transfer,0
TXN000157,ACC00244,2025-08-02,1484.14,ATM,Withdrawal,0
TXN000158,ACC00194,2024-02-25,1603.58,ATM,Withdrawal,0
TXN000159,ACC00191,2024-04-16,1044.46,POS,Withdrawal,0
TXN000160,ACC00027,2024-09-28,4045.09,ATM,Transfer,1
TXN000161,ACC00300,2025-01-20,4480.19,ATM,Transfer,1
TXN000162,ACC00182,2025-08-28,2086.26,POS,Withdrawal,0
TXN000163,ACC00191,2025-07-09,4588.09,POS,Withdrawal,1
TXN000164,ACC00215,2024-05-09,2156.9,POS,Payment,0
TXN000165,ACC00283,2024-05-27,4245.29,ATM,Withdrawal,1
TXN000166,ACC00045,2024-09-05,4750.49,Online,Withdrawal,1
TXN000167,ACC00288,2024-10-07,4907.87,POS,Payment,1
TXN000168,ACC00143,2024-10-07,217.78,Online,Transfer,0
TXN000169,ACC00165,2024-10-30,2125.62,POS,Transfer,0
TXN000170,ACC00086,2025-03-12,1305.24,POS,Payment,0
TXN000171,ACC00170,2025-01-27,4053.57,POS,Transfer,1
TXN000172,ACC00091,2025-09-06,4274.84,Online,Payment,1
TXN000173,ACC00031,2024-03-29,1030.82,POS,Withdrawal,0
TXN000174,ACC00175,2024-06-10,3535.71,ATM,Withdrawal,1
TXN000175,ACC00213,2025-11-23,2400.57,Online,Withdrawal,0
TXN000176,ACC00041,2024-12-03,2590.09,POS,Withdrawal,0
TXN000177,ACC00075,2025-04-04,3945.9,POS,Withdrawal,1
TXN000178,ACC00216,2025-12-13,3427.17,Online,Payment,1
TXN000179,ACC00242,2024-03-05,901.97,Online,Withdrawal,0
TXN000180,ACC00260,2024-11-10,958.99,Online,Transfer,0
TXN000181,ACC00034,2025-10-22,3076.45,POS,Payment,1
TXN000182,ACC00262,2025-06-15,175.66,Online,Transfer,0
TXN000183,ACC00168,2024-10-25,310.6,Online,Withdrawal,0
TXN000184,ACC00258,2025-04-23,1042.19,POS,Withdrawal,0
TXN000185,ACC00194,2025-06-29,119.41,POS,Transfer,0
TXN000186,ACC00133,2024-02-27,604.33,ATM,Transfer,0
TXN000187,ACC00292,2024-05-15,4638.94,ATM,Transfer,1
TXN000188,ACC00118,2024-07-31,722.43,ATM,Payment,0
TXN000189,ACC00254,2025-11-23,1634.28,POS,Transfer,0
TXN000190,ACC00022,2024-07-22,1661.15,Online,Withdrawal,0
TXN000191,ACC00202,2025-11-24,4474.36,POS,Withdrawal,1
TXN000192,ACC00264,2025-10-22,1786.03,Online,Transfer,0
TXN000193,ACC00025,2024-11-05,1256.82,POS,Transfer,0
TXN000194,ACC00208,2024-01-03,3774.03,ATM,Transfer,1
TXN000195,ACC00049,2025-12-17,1022.38,ATM,Withdrawal,0
TXN000196,ACC00234,2025-03-07,1590.47,POS,Withdrawal,0
TXN000197,ACC00170,2024-06-21,1524.32,Online,Withdrawal,0
TXN000198,ACC00177,2025-08-29,655.75,POS,Withdrawal,0
TXN000199,ACC00072,2025-09-22,1552.83,POS,Withdrawal,0
TXN000200,ACC00020,2025-09-02,2838.58,POS,Withdrawal,0
TXN000201,ACC00049,2025-08-19,1404.72,POS,Transfer,0
TXN000202,ACC00231,2025-04-28,4666.77,Online,Transfer,1
TXN000203,ACC00005,2025-03-08,1154.51,POS,Transfer,0
TXN000204,ACC00174,2024-08-08,3190.3,POS,Withdrawal,1
TXN000205,ACC00069,2024-11-10,2833.94,ATM,Transfer,0
TXN000206,ACC00261,2025-03-27,476.45,ATM,Transfer,0
TXN000207,ACC00053,2025-09-02,1499.07,POS,Transfer,0
TXN000208,ACC00146,2025-12-19,1429.05,Online,Transfer,0
TXN000209,ACC00262,2025-03-15,225.24,ATM,Transfer,0
TXN000210,ACC00022,2025-11-01,2131.59,POS,Payment,0
TXN000211,ACC00260,2024-01-26,940.75,Online,Transfer,0
TXN000212,ACC00275,2024-03-02,2837.81,POS,Transfer,0
TXN000213,ACC00203,2024-12-02,437.16,Online,Withdrawal,0
TXN000214,ACC00005,2025-01-06,344.55,ATM,Withdrawal,0
TXN000215,ACC00045,2025-12-31,658.62,ATM,Withdrawal,0
TXN000216,ACC00170,2025-09-03,2896.37,POS,Withdrawal,0
TXN000217,ACC00297,2024-04-10,706.04,ATM,Withdrawal,0
TXN000218,ACC00120,2025-07-19,1159.41,ATM,Transfer,0
TXN000219,ACC00122,2024-09-24,3881.38,POS,Transfer,1
TXN000220,ACC00061,2025-03-31,1723.11,POS,Payment,1
TXN000221,ACC00187,2024-03-28,1382.3,POS,Payment,0
TXN000222,ACC00225,2024-12-02,3375.0,ATM,Transfer,1
TXN000223,ACC00099,2025-12-16,414.84,ATM,Withdrawal,0
TXN000224,ACC00132,2025-03-30,1251.22,POS,Transfer,0
TXN000225,ACC00174,2024-10-06,4763.31,POS,Withdrawal,1
TXN000226,ACC00002,2024-01-05,445.18,Online,Transfer,0
TXN000227,ACC00113,2024-01-23,3913.71,POS,Transfer,1
TXN000228,ACC00108,2025-03-12,2254.89,ATM,Transfer,0
TXN000229,ACC00087,2025-01-21,917.4,POS,Withdrawal,0
TXN000230,ACC00114,2025-11-10,2129.3,POS,Payment,0
TXN000231,ACC00182,2025-01-28,2723.5,Online,Payment,0
TXN000232,ACC00174,2024-01-02,4490.41,POS,Transfer,1
TXN000233,ACC00123,2024-09-17,1224.61,POS,Transfer,0
TXN000234,ACC00264,2024-11-16,2837.8,ATM,Withdrawal,0
TXN000235,ACC00089,2025-11-23,157.51,POS,Payment,0
TXN000236,ACC00142,2024-09-03,4318.16,ATM,Withdrawal,1
TXN000237,ACC00184,2025-01-12,936.25,POS,Withdrawal,0
TXN000238,ACC00218,2025-04-07,1139.61,ATM,Payment,0
TXN000239,ACC00088,2025-03-26,1501.26,POS,Transfer,0
TXN000240,ACC00147,2025-04-15,2977.18,ATM,Transfer,0
TXN000241,ACC00297,2024-11-30,3291.41,POS,Transfer,1
TXN000242,ACC00248,2024-05-08,2432.13,Online,Payment,0
TXN000243,ACC00276,2024-11-04,1652.39,Online,Withdrawal,1
TXN000244,ACC00094,2025-09-02,3801.05,Online,Payment,1
TXN000245,ACC00071,2024-02-13,3527.95,Online,Transfer,1
TXN000246,ACC00040,2025-11-18,2115.69,ATM,Transfer,1
TXN000247,ACC00093,2024-02-01,504.92,ATM,Withdrawal,0
TXN000248,ACC00300,2025-04-10,1902.48,Online,Transfer,0
TXN000249,ACC00112,2025-11-17,3642.96,POS,Payment,1
TXN000250,ACC00169,2024-06-30,2106.57,Online,Payment,0
TXN000251,ACC00154,2024-06-24,4961.62,Online,Withdrawal,1
TXN000252,ACC00098,2024-08-10,2050.91,POS,Withdrawal,0
TXN000253,ACC00126,2025-11-15,4744.88,POS,Withdrawal,1
TXN000254,ACC00189,2024-06-26,1141.64,ATM,Transfer,0
TXN000255,ACC00066,2024-10-12,13.91,POS,Payment,0
TXN000256,ACC00029,2024-09-02,1619.14,Online,Transfer,0
TXN000257,ACC00106,2024-08-02,2350.32,ATM,Withdrawal,0
TXN000258,ACC00249,2025-12-01,1185.12,Online,Payment,0
TXN000259,ACC00228,2025-07-31,2322.06,ATM,Payment,0
TXN000260,ACC00273,2025-04-20,4180.28,Online,Transfer,1
TXN000261,ACC00297,2024-02-01,3226.63,POS,Payment,1
TXN000262,ACC00075,2024-06-28,193.69,POS,Payment,0
TXN000263,ACC00027,2025-03-13,2429.66,POS,Withdrawal,0
TXN000264,ACC00123,2024-12-30,4501.31,Online,Payment,1
TXN000265,ACC00184,2025-07-17,3824.38,Online,Payment,1
TXN000266,ACC00128,2025-04-20,3539.02,Online,Withdrawal,1
TXN000267,ACC00201,2025-03-06,4122.99,POS,Withdrawal,1
TXN000268,ACC00011,2024-01-21,2084.86,Online,Withdrawal,1
TXN000269,ACC00051,2024-09-03,4783.36,Online,Transfer,1
TXN000270,ACC00155,2024-11-11,914.16,ATM,Payment,0
TXN000271,ACC00059,2024-07-10,2311.29,ATM,Transfer,0
TXN000272,ACC00147,2025-01-26,484.99,ATM,Payment,0
TXN000273,ACC00039,2024-10-16,1463.51,POS,Transfer,0
TXN000274,ACC00293,2024-03-09,1878.19,POS,Withdrawal,0
TXN000275,ACC00081,2025-03-07,3038.79,ATM,Transfer,1
TXN000276,ACC00040,2024-11-25,406.11,ATM,Withdrawal,1
TXN000277,ACC00201,2025-01-23,2904.89,Online,Transfer,0
TXN000278,ACC00124,2025-02-20,679.31,ATM,Withdrawal,0
TXN000279,ACC00176,2024-04-25,1839.34,ATM,Transfer,0
TXN000280,ACC00213,2024-05-30,1808.67,Online,Transfer,0
TXN000281,ACC00267,2025-03-16,1852.52,Online,Payment,0
TXN000282,ACC00196,2025-03-19,3556.07,Online,Payment,1
TXN000283,ACC00150,2024-05-17,2298.09,POS,Withdrawal,0
TXN000284,ACC00104,2024-12-08,1676.7,Online,Payment,0
TXN000285,ACC00064,2025-02-16,4011.72,POS,Withdrawal,1
TXN000286,ACC00236,2025-07-04,939.3,ATM,Withdrawal,0
TXN000287,ACC00105,2025-09-10,2984.75,Online,Withdrawal,0
TXN000288,ACC00297,2025-03-23,1263.87,ATM,Transfer,0
TXN000289,ACC00132,2024-10-29,2268.2,ATM,Withdrawal,0
TXN000290,ACC00207,2025-11-15,2198.45,Online,Transfer,0
TXN000291,ACC00266,2024-10-14,898.08,ATM,Payment,0
TXN000292,ACC00039,2025-08-16,4805.19,Online,Payment,1
TXN000293,ACC00058,2025-12-22,4287.62,POS,Withdrawal,1
TXN000294,ACC00010,2024-04-02,807.02,ATM,Withdrawal,0
TXN000295,ACC00083,2025-02-22,4505.68,ATM,Transfer,1
TXN000296,ACC00038,2025-08-09,2591.25,POS,Withdrawal,0
TXN000297,ACC00156,2025-03-30,3502.47,ATM,Withdrawal,1
TXN000298,ACC00270,2025-02-12,2947.71,ATM,Payment,0
TXN000299,ACC00297,2025-04-07,2260.06,ATM,Transfer,0
TXN000300,ACC00037,2025-11-30,342.08,ATM,Payment,0
TXN000301,ACC00205,2024-01-08,3775.47,Online,Withdrawal,1
TXN000302,ACC00114,2024-06-14,434.81,Online,Withdrawal,0
TXN000303,ACC00288,2025-02-14,3256.14,POS,Withdrawal,1
TXN000304,ACC00266,2025-01-04,3854.36,POS,Withdrawal,1
TXN000305,ACC00189,2025-05-24,4197.39,ATM,Payment,1
TXN000306,ACC00187,2024-02-16,1627.65,POS,Withdrawal,0
TXN000307,ACC00068,2024-07-04,2366.81,POS,Transfer,0
TXN000308,ACC00178,2025-10-23,1929.32,ATM,Payment,0
TXN000309,ACC00246,2025-07-19,1369.44,POS,Payment,0
TXN000310,ACC00005,2025-07-13,1827.66,ATM,Withdrawal,0
TXN000311,ACC00283,2025-05-19,3307.53,ATM,Transfer,1
TXN000312,ACC00144,2025-04-26,4146.43,Online,Transfer,1
TXN000313,ACC00205,2025-03-31,2488.09,Online,Withdrawal,0
TXN000314,ACC00092,2024-07-27,3164.43,ATM,Payment,1
TXN000315,ACC00020,2024-12-24,1750.05,Online,Payment,0
TXN000316,ACC00286,2024-10-21,4520.17,POS,Transfer,1
TXN000317,ACC00089,2025-10-23,1550.36,POS,Withdrawal,0
TXN000318,ACC00200,2025-08-03,3411.27,Online,Withdrawal,1
TXN000319,ACC00041,2025-03-27,4364.9,POS,Transfer,1
TXN000320,ACC00103,2024-03-02,1592.33,ATM,Transfer,0
TXN000321,ACC00204,2025-08-12,4356.37,ATM,Transfer,1
TXN000322,ACC00032,2024-05-07,2671.98,ATM,Transfer,0
TXN000323,ACC00133,2025-04-29,4431.53,ATM,Transfer,1
TXN000324,ACC00218,2025-08-22,3217.92,ATM,Payment,1
TXN000325,ACC00153,2025-06-02,2365.4,POS,Payment,0
TXN000326,ACC00154,2025-03-23,1079.96,ATM,Transfer,0
TXN000327,ACC00101,2024-01-05,4622.39,POS,Payment,1
TXN000328,ACC00126,2024-03-29,4236.98,ATM,Transfer,1
TXN000329,ACC00045,2024-12-16,3491.84,Online,Withdrawal,1
TXN000330,ACC00184,2024-08-29,1558.86,Online,Payment,1
TXN000331,ACC00082,2025-03-05,1779.28,POS,Transfer,0
TXN000332,ACC00205,2025-02-15,939.31,POS,Withdrawal,0
TXN000333,ACC00174,2024-02-11,4410.53,Online,Withdrawal,1
TXN000334,ACC00278,2024-05-11,893.63,POS,Withdrawal,0
TXN000335,ACC00268,2024-01-29,3237.15,Online,Payment,1
TXN000336,ACC00004,2025-08-05,2395.09,ATM,Transfer,0
TXN000337,ACC00287,2024-11-03,2180.15,Online,Withdrawal,0
TXN000338,ACC00184,2024-03-06,1454.84,Online,Withdrawal,0
TXN000339,ACC00096,2025-10-30,1249.46,POS,Payment,0
TXN000340,ACC00244,2024-03-10,1829.17,Online,Payment,0
TXN000341,ACC00070,2024-02-23,4052.01,Online,Payment,1
TXN000342,ACC00076,2025-01-30,4665.44,ATM,Transfer,1
TXN000343,ACC00288,2024-11-02,4043.58,Online,Payment,1
TXN000344,ACC00228,2024-05-29,2780.68,ATM,Transfer,0
TXN000345,ACC00237,2025-12-23,4114.16,Online,Payment,1
TXN000346,ACC00232,2025-11-03,2671.53,POS,Transfer,0
TXN000347,ACC00079,2025-10-01,2096.16,POS,Transfer,1
TXN000348,ACC00298,2024-02-12,2878.25,ATM,Transfer,0
TXN000349,ACC00209,2024-07-14,603.33,ATM,Withdrawal,0
TXN000350,ACC00016,2025-02-22,4100.84,ATM,Transfer,1
TXN000351,ACC00247,2024-04-27,1515.6,ATM,Transfer,0
TXN000352,ACC00272,2024-09-18,4631.02,ATM,Transfer,1
TXN000353,ACC00215,2025-12-28,4060.14,Online,Payment,1
TXN000354,ACC00283,2025-04-22,4076.79,ATM,Payment,1
TXN000355,ACC00220,2024-09-15,2291.97,POS,Withdrawal,0
TXN000356,ACC00253,2025-12-21,4266.55,Online,Transfer,1
TXN000357,ACC00066,2024-01-08,3201.85,POS,Withdrawal,1
TXN000358,ACC00072,2025-07-22,1714.19,ATM,Payment,0
TXN000359,ACC00176,2024-08-28,191.39,Online,Withdrawal,0
TXN000360,ACC00215,2025-11-15,1353.06,Online,Transfer,0
TXN000361,ACC00299,2025-02-02,2813.51,POS,Transfer,0
TXN000362,ACC00179,2025-12-20,1888.82,POS,Transfer,0
TXN000363,ACC00156,2024-09-15,2914.78,POS,Withdrawal,0
TXN000364,ACC00086,2025-06-18,1477.74,ATM,Payment,0
TXN000365,ACC00091,2024-04-17,3382.46,ATM,Payment,1
TXN000366,ACC00269,2025-08-19,1031.16,Online,Transfer,1
TXN000367,ACC00193,2024-04-21,3532.71,POS,Payment,1
TXN000368,ACC00127,2025-08-30,4854.62,ATM,Transfer,1
TXN000369,ACC00253,2024-08-23,4408.86,ATM,Transfer,1
TXN000370,ACC00279,2024-05-10,4135.83,POS,Withdrawal,1
TXN000371,ACC00273,2024-08-12,3212.21,Online,Withdrawal,1
TXN000372,ACC00277,2025-12-13,2203.32,POS,Withdrawal,0
TXN000373,ACC00263,2024-06-14,4079.32,ATM,Transfer,1
TXN000374,ACC00221,2024-12-29,1133.31,ATM,Withdrawal,0
TXN000375,ACC00287,2024-08-21,3385.1,POS,Payment,1
TXN000376,ACC00225,2025-04-26,4585.89,ATM,Payment,1
TXN000377,ACC00291,2024-09-13,2765.9,ATM,Withdrawal,0
TXN000378,ACC00002,2025-06-11,3601.32,Online,Transfer,1
TXN000379,ACC00137,2025-10-14,2420.3,POS,Transfer,0
TXN000380,ACC00109,2024-07-29,2933.68,ATM,Payment,0
TXN000381,ACC00168,2024-11-26,1251.79,POS,Transfer,0
TXN000382,ACC00185,2025-12-17,4068.37,ATM,Payment,1
TXN000383,ACC00055,2024-10-01,4938.66,Online,Transfer,1
TXN000384,ACC00089,2024-10-16,1104.0,POS,Withdrawal,0
TXN000385,ACC00270,2024-03-14,3807.19,Online,Transfer,1
TXN000386,ACC00261,2025-05-27,2013.85,POS,Transfer,0
TXN000387,ACC00259,2025-02-19,1815.89,POS,Withdrawal,0
TXN000388,ACC00194,2024-04-01,2944.05,Online,Payment,0
TXN000389,ACC00258,2025-12-12,1045.68,ATM,Payment,0
TXN000390,ACC00063,2025-08-15,3563.37,ATM,Transfer,1
TXN000391,ACC00029,2024-07-18,3284.43,ATM,Transfer,1
TXN000392,ACC00243,2024-05-06,3378.24,POS,Withdrawal,1
TXN000393,ACC00069,2025-12-30,4709.6,POS,Transfer,1
TXN000394,ACC00236,2025-01-07,2398.2,Online,Payment,0
TXN000395,ACC00296,2024-03-16,3660.61,Online,Withdrawal,1
TXN000396,ACC00139,2024-09-26,3596.47,Online,Withdrawal,1
TXN000397,ACC00094,2025-02-15,2800.7,POS,Transfer,0
TXN000398,ACC00181,2025-12-25,797.09,Online,Transfer,0
TXN000399,ACC00169,2024-08-05,1719.56,Online,Transfer,0
TXN000400,ACC00078,2025-09-06,832.46,Online,Payment,0
TXN000401,ACC00072,2024-03-19,2820.6,Online,Withdrawal,0
TXN000402,ACC00162,2025-12-01,1970.62,POS,Transfer,0
TXN000403,ACC00167,2024-01-31,565.26,POS,Transfer,0
