customer_id,segment,gender,age,city
CUST0069,Affluent,M,26,CT
CUST0070,Affluent,M,58,HCM
CUST0071,Mass,M,51,HCM
CUST0072,Affluent,F,63,CT
CUST0073,Affluent,F,51,HN
CUST0074,Mass,M,56,DN
CUST0075,Mass,M,23,CT
CUST0076,VIP,F,48,CT
CUST0077,Mass,F,42,HN
CUST0078,Affluent,M,37,DN
CUST0079,VIP,F,27,HCM
CUST0080,Affluent,M,18,HN
CUST0081,Affluent,M,54,HCM
CUST0082,Mass,F,41,DN
CUST0083,Affluent,M,34,DN
CUST0084,Affluent,M,45,HCM
CUST0085,Mass,F,51,CT
CUST0086,VIP,F,52,HCM
CUST0087,Affluent,M,45,DN
CUST0088,VIP,M,30,HN
CUST0089,VIP,F,26,HCM
CUST0090,Mass,F,45,HN
CUST0091,Mass,M,37,CT
CUST0092,VIP,F,53,HCM
CUST0093,Affluent,F,25,HN
CUST0094,Mass,F,52,HCM
CUST0095,Mass,M,59,DN
CUST0096,Affluent,M,46,HCM
CUST0097,VIP,M,27,HCM
CUST0098,Affluent,F,41,HN
CUST0099,Mass,F,34,CT
CUST0100,Mass,F,21,HN
CUST0101,Mass,M,27,HN
CUST0102,VIP,F,65,HN
CUST0103,VIP,F,58,CT
CUST0104,VIP,M,58,HN
CUST0105,Mass,F,32,DN
CUST0106,Mass,M,43,DN
CUST0107,Mass,M,20,CT
CUST0108,Affluent,F,56,CT
CUST0109,VIP,M,59,DN
CUST0110,Mass,M,42,DN
CUST0111,Mass,F,45,HN
CUST0112,Affluent,F,27,HN
CUST0113,Affluent,M,32,CT
CUST0114,Mass,M,22,DN
CUST0115,Affluent,M,34,HCM
CUST0116,Affluent,F,63,DN
CUST0117,VIP,F,42,CT
CUST0118,Mass,F,29,CT
CUST0119,Mass,F,56,HCM
CUST0120,VIP,M,51,DN
CUST0121,Affluent,M,44,HCM
CUST0122,Affluent,F,48,CT
CUST0123,VIP,F,46,HCM
CUST0124,Mass,M,18,HCM
CUST0125,Mass,F,51,HN
CUST0126,VIP,M,34,DN
CUST0127,VIP,M,46,DN
CUST0128,VIP,F,28,CT
CUST0129,Affluent,M,46,HN
CUST0130,Mass,F,28,HCM
CUST0131,VIP,F,37,HCM
CUST0132,VIP,M,47,CT
CUST0133,Affluent,F,31,CT
CUST0134,Mass,F,57,HN
CUST0135,Affluent,M,20,HN
CUST0136,VIP,M,43,DN
CUST0137,VIP,M,18,HCM
CUST0138,Mass,M,60,HN
CUST0139,VIP,F,48,HN
CUST0140,VIP,F,44,DN
CUST0141,Affluent,M,38,HN
CUST0142,Mass,M,33,HCM
CUST0143,Affluent,M,49,HCM
CUST0144,Mass,F,52,HN
CUST0145,Mass,F,60,HN
CUST0146,Affluent,F,46,DN
CUST0147,Affluent,F,37,DN
CUST0148,Mass,M,26,DN
CUST0149,Affluent,F,39,CT
CUST0150,Mass,M,43,HN
CUST0151,Mass,F,18,HN
CUST0153,Affluent,F,22,HN
CUST0154,VIP,F,31,DN
CUST0155,Mass,F,27,CT
CUST0156,VIP,F,29,DN
CUST0157,Affluent,F,51,HCM
CUST0158,Mass,F,65,DN
CUST0159,Affluent,F,41,HCM
CUST0160,Mass,F,59,HN
CUST0161,VIP,M,64,CT
CUST0162,Mass,F,34,HN
CUST0163,VIP,F,34,CT
CUST0164,Mass,M,58,HN
CUST0165,VIP,F,37,HCM
CUST0166,VIP,F,24,DN
CUST0167,Mass,F,50,HCM
CUST0168,Mass,F,33,DN
CUST0169,Affluent,F,21,HN
CUST0170,VIP,F,28,HN
CUST0171,VIP,M,22,CT
CUST0172,VIP,M,18,DN
CUST0173,Mass,F,48,DN
CUST0174,Mass,M,18,HCM
CUST0175,Affluent,F,56,DN
CUST0176,VIP,M,21,HCM
CUST0177,Affluent,F,28,HN
CUST0178,Mass,F,20,HN
CUST0179,Mass,F,43,HN
CUST0180,Mass,M,22,HCM
CUST0181,VIP,M,54,HCM
CUST0182,Affluent,M,50,CT
CUST0183,Affluent,F,42,CT
CUST0184,Mass,F,37,HCM
CUST0185,VIP,M,37,DN
CUST0186,Affluent,M,62,DN
CUST0187,Mass,M,45,HCM
CUST0188,Mass,F,65,CT
CUST0189,Affluent,F,35,DN
CUST0190,VIP,M,59,HN
CUST0191,Affluent,F,44,CT
CUST0192,Affluent,F,28,CT
CUST0193,Affluent,M,46,CT
CUST0195,VIP,F,56,CT
CUST0196,VIP,M,28,DN
CUST0197,Affluent,F,18,CT
CUST0198,Mass,F,60,HCM
CUST0199,VIP,M,40,CT
CUST0200,Affluent,F,38,HN
