account_id,customer_id,account_type,open_date,status
ACC00144,CUST0103,Savings,2024-06-05,Active
ACC00145,CUST0032,Credit,2021-03-30,Active
ACC00146,CUST0188,Credit,2023-06-24,Active
ACC00147,CUST0127,Savings,2021-07-10,Inactive
ACC00148,CUST0150,Credit,2024-05-09,Active
ACC00149,CUST0166,Investment,2024-10-28,Inactive
ACC00150,CUST0015,Savings,2022-05-21,Inactive
ACC00152,CUST0050,Investment,2024-03-10,Inactive
ACC00153,CUST0013,Investment,2024-08-03,Active
ACC00154,CUST0110,Investment,2020-08-05,Inactive
ACC00155,CUST0108,Savings,2024-08-12,Inactive
ACC00156,CUST0105,Credit,2022-06-06,Inactive
ACC00157,CUST0021,Credit,2020-05-30,Active
ACC00158,CUST0092,Savings,2022-04-02,Active
ACC00159,CUST0184,Investment,2024-05-06,Active
ACC00160,CUST0145,Credit,2024-09-26,Inactive
ACC00161,CUST0149,Savings,2021-10-18,Inactive
ACC00162,CUST0196,Credit,2022-11-01,Active
ACC00164,CUST0114,Savings,2023-02-12,Inactive
ACC00165,CUST0189,Investment,2024-07-29,Active
ACC00166,CUST0110,Savings,2024-07-06,Active
ACC00167,CUST0171,Investment,2020-03-11,Active
ACC00168,CUST0176,Savings,2023-07-21,Active
ACC00169,CUST0099,Savings,2020-10-29,Active
ACC00170,CUST0109,Investment,2023-08-27,Inactive
ACC00171,CUST0056,Investment,2021-08-31,Active
ACC00172,CUST0126,Savings,2024-03-14,Inactive
ACC00173,CUST0104,Savings,2022-07-16,Inactive
ACC00174,CUST0163,Credit,2020-07-25,Active
ACC00175,CUST0018,Credit,2024-05-30,Inactive
ACC00176,CUST0165,Credit,2023-10-19,Inactive
ACC00177,CUST0200,Savings,2020-01-15,Active
ACC00178,CUST0193,Credit,2021-01-24,Inactive
ACC00179,CUST0125,Savings,2024-01-18,Active
ACC00180,CUST0106,Investment,2020-01-07,Active
ACC00181,CUST0196,Investment,2022-03-07,Inactive
ACC00182,CUST0151,Savings,2021-03-03,Inactive
ACC00183,CUST0168,Investment,2022-03-06,Active
ACC00184,CUST0027,Investment,2024-12-24,Inactive
ACC00185,CUST0026,Savings,2021-09-19,Inactive
ACC00186,CUST0060,Investment,2021-05-03,Inactive
ACC00187,CUST0063,Savings,2023-07-07,Active
ACC00188,CUST0197,Credit,2022-12-21,Active
ACC00189,CUST0082,Credit,2021-04-18,Active
ACC00190,CUST0138,Savings,2020-08-07,Inactive
ACC00191,CUST0109,Savings,2023-03-26,Inactive
ACC00192,CUST0042,Credit,2023-06-12,Inactive
ACC00193,CUST0048,Credit,2020-05-12,Inactive
ACC00194,CUST0171,Investment,2022-05-29,Inactive
ACC00195,CUST0034,Credit,2022-02-07,Inactive
ACC00196,CUST0160,Savings,2023-10-20,Active
ACC00197,CUST0050,Credit,2022-08-07,Active
ACC00198,CUST0135,Investment,2023-10-26,Active
ACC00199,CUST0192,Savings,2022-01-31,Inactive
ACC00200,CUST0166,Savings,2023-05-24,Active
ACC00201,CUST0094,Investment,2023-02-28,Active
ACC00202,CUST0081,Credit,2023-10-13,Inactive
ACC00203,CUST0121,Savings,2021-06-09,Active
ACC00204,CUST0185,Savings,2024-03-23,Inactive
ACC00205,CUST0200,Savings,2020-11-14,Active
ACC00206,CUST0149,Savings,2023-06-24,Inactive
ACC00207,CUST0189,Investment,2020-05-06,Inactive
ACC00208,CUST0150,Savings,2022-09-15,Active
ACC00209,CUST0087,Credit,2023-09-30,Active
ACC00211,CUST0172,Credit,2024-12-20,Inactive
ACC00212,CUST0143,Investment,2021-07-11,Inactive
ACC00213,CUST0167,Savings,2024-05-16,Active
ACC00214,CUST0134,Credit,2020-07-19,Inactive
ACC00215,CUST0012,Savings,2023-04-24,Active
ACC00216,CUST0073,Credit,2024-07-10,Inactive
ACC00217,CUST0142,Investment,2022-10-09,Active
ACC00218,CUST0183,Credit,2021-10-14,Active
ACC00219,CUST0179,Credit,2023-12-27,Inactive
ACC00220,CUST0068,Savings,2020-02-19,Inactive
ACC00221,CUST0066,Savings,2024-01-10,Active
ACC00223,CUST0070,Credit,2023-11-25,Inactive
ACC00224,CUST0008,Savings,2021-01-06,Inactive
ACC00225,CUST0047,Savings,2023-07-16,Active
ACC00226,CUST0064,Credit,2024-08-03,Active
ACC00227,CUST0089,Credit,2022-02-07,Inactive
ACC00228,CUST0069,Savings,2023-06-07,Active
ACC00229,CUST0180,Credit,2023-11-26,Active
ACC00231,CUST0177,Investment,2023-06-16,Active
ACC00232,CUST0141,Credit,2021-02-17,Inactive
ACC00233,CUST0013,Credit,2022-03-07,Active
ACC00234,CUST0154,Credit,2021-11-20,Active
ACC00236,CUST0133,Savings,2021-06-17,Inactive
ACC00237,CUST0185,Credit,2022-04-27,Inactive
ACC00238,CUST0189,Credit,2023-02-18,Inactive
ACC00239,CUST0126,Investment,2021-04-15,Inactive
ACC00240,CUST0040,Investment,2024-02-28,Active
ACC00241,CUST0112,Savings,2022-08-03,Active
ACC00242,CUST0129,Savings,2023-02-16,Active
ACC00243,CUST0170,Investment,2023-05-27,Inactive
ACC00244,CUST0114,Savings,2022-04-17,Inactive
ACC00245,CUST0198,Credit,2024-09-07,Active
ACC00246,CUST0160,Savings,2021-07-04,Inactive
ACC00247,CUST0133,Savings,2023-04-28,Inactive
ACC00248,CUST0155,Credit,2021-10-08,Active
ACC00249,CUST0151,Credit,2024-10-04,Active
ACC00250,CUST0124,Credit,2021-06-30,Active
ACC00251,CUST0091,Credit,2021-08-02,Inactive
ACC00252,CUST0018,Credit,2023-05-30,Inactive
ACC00253,CUST0123,Savings,2021-06-28,Inactive
ACC00254,CUST0162,Credit,2022-12-18,Inactive
ACC00255,CUST0086,Credit,2022-07-02,Active
ACC00257,CUST0064,Investment,2023-06-21,Inactive
ACC00258,CUST0050,Savings,2024-08-07,Inactive
ACC00259,CUST0007,Credit,2020-11-12,Active
ACC00260,CUST0077,Credit,2020-08-28,Active
ACC00261,CUST0109,Credit,2023-07-08,Inactive
ACC00262,CUST0131,Savings,2024-04-06,Inactive
ACC00263,CUST0182,Investment,2022-05-30,Active
ACC00264,CUST0190,Savings,2022-04-14,Inactive
ACC00265,CUST0077,Credit,2024-10-05,Active
ACC00266,CUST0170,Investment,2023-11-27,Inactive
ACC00267,CUST0118,Savings,2021-12-23,Active
ACC00268,CUST0141,Investment,2020-02-06,Active
ACC00269,CUST0148,Credit,2021-07-13,Inactive
ACC00270,CUST0138,Investment,2023-11-06,Inactive
ACC00271,CUST0069,Investment,2023-08-29,Inactive
ACC00272,CUST0193,Investment,2023-05-04,Inactive
ACC00273,CUST0179,Investment,2024-05-16,Active
ACC00274,CUST0144,Investment,2023-05-29,Inactive
ACC00275,CUST0015,Savings,2024-11-12,Active
ACC00276,CUST0077,Savings,2023-04-17,Inactive
ACC00277,CUST0140,Credit,2020-05-11,Inactive
ACC00278,CUST0107,Investment,2020-02-21,Active
ACC00279,CUST0114,Investment,2022-08-12,Inactive
ACC00280,CUST0136,Investment,2020-06-01,Inactive
ACC00281,CUST0049,Savings,2020-10-29,Inactive
ACC00282,CUST0167,Credit,2023-10-18,Inactive
ACC00283,CUST0013,Investment,2023-01-26,Active
ACC00284,CUST0164,Credit,2023-01-28,Active
ACC00285,CUST0090,Savings,2023-01-15,Active
ACC00286,CUST0076,Credit,2023-12-10,Inactive
ACC00287,CUST0163,Savings,2023-11-11,Inactive
ACC00288,CUST0111,Credit,2024-07-01,Inactive
ACC00289,CUST0145,Credit,2021-12-06,Inactive
ACC00290,CUST0178,Investment,2021-03-12,Inactive
ACC00291,CUST0094,Credit,2020-03-31,Inactive
ACC00292,CUST0172,Savings,2020-03-18,Inactive
ACC00293,CUST0097,Savings,2020-07-26,Inactive
ACC00294,CUST0097,Savings,2022-06-22,Inactive
ACC00295,CUST0009,Savings,2021-01-02,Inactive
ACC00296,CUST0086,Investment,2023-06-21,Active
ACC00297,CUST0124,Investment,2023-09-09,Inactive
ACC00298,CUST0036,Savings,2023-02-27,Inactive
ACC00299,CUST0109,Investment,2020-04-21,Inactive
ACC00300,CUST0025,Savings,2020-09-26,Inactive
