customer_id,year,quarter,score,risk_level
CUST0085,2024,Q3,558,Medium
CUST0086,2023,Q3,491,High
CUST0087,2025,Q4,639,Medium
CUST0088,2025,Q4,563,Medium
CUST0089,2025,Q2,728,Low
CUST0090,2023,Q4,396,High
CUST0091,2024,Q1,783,Low
CUST0092,2025,Q2,734,Low
CUST0093,2024,Q2,343,High
CUST0094,2024,Q2,539,High
CUST0095,2025,Q4,642,Medium
CUST0096,2024,Q3,668,Medium
CUST0097,2023,Q4,439,High
CUST0098,2023,Q3,828,Low
CUST0099,2025,Q2,407,High
CUST0100,2024,Q2,699,Medium
CUST0101,2025,Q2,426,High
CUST0102,2025,Q1,523,High
CUST0103,2025,Q3,556,Medium
CUST0104,2024,Q3,483,High
CUST0105,2024,Q1,850,Low
CUST0107,2025,Q2,505,High
CUST0108,2025,Q2,502,High
CUST0109,2025,Q4,665,Medium
CUST0110,2023,Q4,439,High
CUST0111,2024,Q3,380,High
CUST0112,2024,Q3,301,High
CUST0113,2023,Q3,602,Medium
CUST0114,2023,Q4,451,High
CUST0115,2025,Q3,785,Low
CUST0116,2025,Q1,473,High
CUST0117,2024,Q4,604,Medium
CUST0118,2023,Q2,510,High
CUST0119,2025,Q2,445,High
CUST0120,2025,Q4,465,High
CUST0121,2025,Q4,444,High
CUST0122,2023,Q4,558,Medium
CUST0123,2024,Q2,841,Low
CUST0124,2025,Q4,637,Medium
CUST0125,2025,Q2,521,High
CUST0126,2025,Q1,436,High
CUST0127,2025,Q3,776,Low
CUST0128,2025,Q1,710,Low
CUST0129,2024,Q2,368,High
CUST0130,2024,Q3,380,High
CUST0132,2023,Q2,600,Medium
CUST0133,2023,Q4,326,High
CUST0134,2024,Q1,712,Low
CUST0135,2023,Q3,360,High
CUST0136,2024,Q3,350,High
CUST0137,2023,Q1,757,Low
CUST0138,2025,Q4,583,Medium
CUST0139,2024,Q1,324,High
CUST0140,2023,Q3,358,High
CUST0140,2024,Q2,525,High
CUST0142,2025,Q1,742,Low
CUST0144,2023,Q1,516,High
CUST0144,2023,Q3,461,High
CUST0145,2025,Q2,671,Medium
CUST0146,2025,Q2,649,Medium
CUST0147,2025,Q1,824,Low
CUST0148,2023,Q3,788,Low
CUST0149,2024,Q4,471,High
CUST0150,2025,Q1,628,Medium
CUST0151,2025,Q3,594,Medium
CUST0153,2025,Q3,505,High
CUST0154,2024,Q3,731,Low
CUST0155,2023,Q4,721,Low
CUST0156,2025,Q1,347,High
CUST0157,2024,Q3,343,High
CUST0158,2023,Q4,600,Medium
CUST0159,2025,Q4,766,Low
CUST0160,2025,Q2,765,Low
CUST0161,2025,Q1,702,Low
CUST0162,2023,Q3,358,High
CUST0163,2024,Q3,837,Low
CUST0164,2024,Q1,664,Medium
CUST0165,2023,Q4,376,High
CUST0167,2024,Q3,643,Medium
CUST0168,2024,Q3,667,Medium
CUST0169,2023,Q3,461,High
CUST0170,2025,Q3,846,Low
CUST0171,2023,Q1,625,Medium
CUST0172,2024,Q4,835,Low
CUST0173,2023,Q3,378,High
CUST0174,2024,Q1,781,Low
CUST0175,2025,Q3,759,Low
CUST0177,2024,Q1,333,High
CUST0178,2024,Q1,517,High
CUST0179,2023,Q3,733,Low
CUST0180,2023,Q4,498,High
CUST0181,2025,Q1,309,High
CUST0182,2023,Q4,739,Low
CUST0183,2025,Q3,372,High
CUST0184,2023,Q1,516,High
CUST0185,2025,Q3,770,Low
CUST0186,2024,Q2,658,Medium
CUST0187,2025,Q2,304,High
CUST0188,2024,Q4,724,Low
CUST0189,2024,Q3,544,High
CUST0190,2024,Q4,521,High
CUST0191,2023,Q2,671,Medium
CUST0192,2024,Q2,477,High
CUST0193,2025,Q2,340,High
CUST0195,2025,Q4,320,High
CUST0196,2025,Q4,377,High
CUST0198,2023,Q2,708,Low
CUST0199,2025,Q2,737,Low
CUST0200,2025,Q3,509,High
